Coluna_1;Coluna_2;Coluna_3;Coluna_4;Coluna_5;Coluna_6;Coluna_7;Coluna_8;Coluna_9;Coluna_10;Coluna_11;Coluna_12;Coluna_13;VALOR CERTO;VALOR_CALCULADO;VALOR_ORIGINAL;STATUS
=== RESUMO ===;Total Geral: 64616;Linhas processadas: 192;Total linhas: 192

Frete;55277/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;"S &amp; S SUPERMERCADOS LTDA";Sorocaba;30;691;691;18325;314;;526;526;526;OK
Frete;55278/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO SILVESTRE LTDA;Sorocaba;59;1395;1395;36601;634;;1062;1062;1062;OK
Frete;55291/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO SILVESTRE LTDA;Sorocaba;26;612;612;15789;278;;466;466;466;OK
Frete;55262/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LA CAMPESINA RESTAURANTE LTDA;São Paulo;4;99;99;3075;45;;76;76;76;OK
Frete;55265/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ENTREPOSTO E DISTR CARNES DANIELLA LTDA;São Paulo;48;1265;1265;35477;575;;963;963;963;OK
Frete;55290/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;A.R.PRIMO COMERCIO DE ALIMENTOS LTDA;São Paulo;4;101;101;3257;46;;77;77;77;OK
Frete;55269/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIO VILA ALPINA LTDA;São Paulo;5;114;114;4396;51;;86;86;86;OK
Frete;55311/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ROMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA 105544;São Paulo;32;794;794;18789;361;;604;604;604;OK
Frete;55156/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CASA DE CARNES BOI MAVINI LTDA;São Paulo;5;138;138;3273;62;;105;105;105;OK
Frete;55159/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;TRADICAO GAUCHA LTDA;São Paulo;12;296;296;11456;134;;225;225;225;OK
Frete;55346/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO SANTA RITA LTDA;Aparecida;6;135;135;3712;61;;103;103;103;OK
Frete;55352/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO PONTE ALTA LTDA 319249;Aparecida;3;79;79;2228;36;;60;60;60;OK
Frete;55349/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PICANHA NOBRE CASA DE CARNES E MINIMERCADO LTDA 243786;Guarulhos;3;45;45;2353;20;;34;34;34;OK
Frete;55369/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO X LTDA;Guarulhos;35;937;937;36095;426;;713;713;713;OK
Frete;55375/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MOTA SUPERMERCADO LTDA;Guarulhos;19;469;469;14741;213;;357;357;357;OK
Frete;55321/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARISOL ESPINDOLA FAVALLI 267487;Canas;1;27;27;1128;12;;20;20;20;OK
Frete;55324/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JAQUELINE CARDOSO LOPES ME;Lorena;4;101;101;1913;46;;77;77;77;OK
Frete;55337/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PAULO ORILIO DA SILVA 238059;Campinas;2;42;42;1293;19;;32;32;32;OK
Frete;55366/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;P M V Alimentos Ltda;Campinas;3;70;70;2050;32;;53;53;53;OK
Frete;55378/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOARES MARTINS LTDA 126891;Louveira;5;132;132;3359;60;;100;100;100;OK
Frete;55261/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LPJ COMERCIO DE ALIMENTOS - EIRELI;Campinas;1;27;27;801;12;;21;21;21;OK
Frete;55287/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHURRASCARIA AVENIDA GENERAL CARNEIRO LTDA;Campinas;2;50;50;2443;23;;38;38;38;OK
Frete;55345/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO CARAMURUS LTDA 319247;Guaratinguetá;5;128;128;3550;58;;97;97;97;OK
Frete;55356/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;REGIANE CRISTINA VIEIRA LOPES 33691925863;Guaratinguetá;2;49;49;1744;22;;37;37;37;OK
Frete;55327/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PANIFICADORA E CONFEITARIA IRMAOS HILARIO LTDA ME;São José dos Campos;4;91;91;2574;41;;69;69;69;OK
Frete;55353/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;VANILDA SOARES SAMPAIO 10365859800 446611;São José dos Campos;1;23;23;1001;10;;17;17;17;OK
Frete;55351/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SEGRETINI BAR E LANCHONETE LTDA 485692;São José dos Campos;5;142;142;6875;64;;108;108;108;OK
Frete;55340/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;A M DA SILVA PRODUTOS ALIMENTICIOS EIRELI ME 171184;São José dos Campos;2;53;53;1191;24;;40;40;40;OK
Frete;55338/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;M. P. MEDEIROS ACOUGUE LTDA ME;São José dos Campos;3;82;82;2938;37;;62;62;62;OK
Frete;55320/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ANDREIA PEREIRA ACOUGUE 133784;São José dos Campos;2;57;57;2343;25;;43;43;43;OK
Frete;55326/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;APARECIDO DONIZETI VIO 383955;São José dos Campos;1;20;20;616;9;;15;15;15;OK
Frete;55347/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;VAREJAO DE CARNES MONFAR LTDA;São José dos Campos;6;132;132;3697;60;;100;100;100;OK
Frete;55348/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;J CESAR DE FARIA;São José dos Campos;3;72;72;1652;32;;55;55;55;OK
Frete;55374/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;BALEEIRO BALEEIRO DE ITATIBA LTDA 201441;Itatiba;6;161;161;3370;73;;123;123;123;OK
Frete;55177/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL II COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;2;47;47;1736;21;;36;36;36;OK
Frete;55104/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;M.A. & MARTINS RESTAURANTE O BOM DO CHURRASCO LTDA;Campo Limpo Paulista;2;48;48;1088;21;;36;36;36;OK
