Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
77953;LSP REIS MATRIZ SJC;12/09/2025;ECT3A35;São José dos Campos, Jacareí, Jambeiro;13;16;1277;1277;0;524;41973;812;812;85;157645;157740;95;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77954;LSP REIS MATRIZ SJC;12/09/2025;PXF6E01;Taubaté;1;4;6038;6038;0;0;195553;3842;3842;37;608329;608426;97;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77955;LSP REIS MATRIZ SJC;12/09/2025;FOS3E76;São José dos Campos;16;21;1002;1002;0;472;30830;637;637;66;289222;289270;48;Marfrig ( BRF );;Finalizado;Juliana Curi Ferreira
77956;LSP REIS MATRIZ SJC;12/09/2025;FRL8D45;São José dos Campos, Jacareí;2;3;2675;2675;0;0;74806;1702;1702;76;690353;690385;32;Marfrig ( BRF );;Finalizado;Henrique Praxedes
77957;LSP REIS MATRIZ SJC;12/09/2025;DBL6F53;Guaratinguetá;1;1;7422;7422;0;0;85032;6999;6999;61;921010;921216;206;FRZ Log;;Finalizado;Juliana Curi Ferreira
77958;LSP REIS MATRIZ SJC;12/09/2025;FWU8C95;Taubaté;1;1;5799;5799;0;0;61447;5470;5470;115;382846;382944;98;FRZ Log;;Finalizado;Juliana Curi Ferreira
77959;LSP REIS MATRIZ SJC;12/09/2025;GEB1H24;Jacareí;1;1;4379;4379;0;0;44240;4177;4177;15;319570;319603;33;FRZ Log;;Finalizado;Juliana Curi Ferreira
77960;LSP REIS MATRIZ SJC;12/09/2025;ERC4I24;Bertioga;1;1;4475;4475;0;0;42111;4254;4254;81;704102;704673;571;FRZ Log;;Finalizado;Juliana Curi Ferreira
77961;LSP REIS MATRIZ SJC;12/09/2025;FFG4I73;São José dos Campos;1;1;3670;3670;0;0;36342;3459;3459;52;690338;690350;12;FRZ Log;;Finalizado;Juliana Curi Ferreira
77962;LSP REIS MATRIZ SJC;12/09/2025;MIO9D74;Paraty, Ubatuba;23;29;1499;1499;0;1056;62905;1441;1441;93;657697;658211;514;MINERVA;471,18 KM;Finalizado;Matheus Antonioli
77963;LSP REIS MATRIZ SJC;12/09/2025;FKT2D65;Roseira, Aparecida, Pindamonhangaba;15;18;1613;1613;0;680;46420;978;978;107;242584;242821;237;MINERVA;;Finalizado;Matheus Antonioli
77964;LSP REIS MATRIZ SJC;12/09/2025;FAT1H80;Pindamonhangaba;1;1;3566;3566;0;0;33694;3363;3363;89;594646;594800;154;FRZ Log;;Finalizado;Juliana Curi Ferreira
77965;LSP REIS MATRIZ SJC;12/09/2025;FKT2A75;Itaquaquecetuba, Arujá, Santa Isabel;27;31;1332;1332;0;588;44642;843;843;83;248696;248849;153;MINERVA;;Em trânsito;Matheus Antonioli
77966;LSP REIS MATRIZ SJC;12/09/2025;FOD9H62;Ubatuba;4;7;2816;2816;0;0;32541;2554;2554;70;665935;666245;310;FRZ Log;EMBARCADO A NF:393150;Finalizado;Juliana Curi Ferreira
77967;LSP REIS MATRIZ SJC;12/09/2025;PXJ9I91;São José dos Campos;15;15;1142;1142;0;543;36951;694;694;76;151062;151174;112;MINERVA;;Finalizado;Matheus Antonioli
77968;LSP REIS MATRIZ SJC;12/09/2025;EFT3I02;Aparecida, Pindamonhangaba;4;26;1792;1792;0;0;21099;1570;1570;51;402034;402255;221;FRZ Log;EMBARCADO AS NFS: 393065 393131 202805;Finalizado;Juliana Curi Ferreira
